cvegeo,m_educacion,m_lineas_sae,m_viv_servicios,m_educacion_sd,m_lineas_sae_sd,m_viv_servicios_sd,lisa,loc_peq_pct,pct_60mas,log_pob
07043,0.0002477320849378263,-0.9322263950141824,0.04599781485930175,0.014112148297121782,0.2844604425950726,0.136838785752165,ns,51.5646382629322,9.999087674482256,4.039850177749664
07044,-0.00011641098439074138,-0.2222782548408327,0.01505253115891207,0.014109400331603591,0.2817396070922219,0.1350247045657059,ns,77.6509534811545,7.448532708024415,4.462383021968959
07045,-0.0008195033193344045,-0.8873091093795252,-0.0009411415598607234,0.014160326235764523,0.26528979878709147,0.13482024819650712,ns,100.0,9.388924252068746,3.7982361763679355
07046,-7.385588183935401e-05,-0.26015141430349703,0.009672162491891161,0.014109152258620628,0.25357817905361024,0.1349217156624712,ns,71.7604656259893,14.98916299344909,4.61345067508453
07047,-0.001233143779760841,0.690117437027758,-0.006578746514237918,0.014206457090914514,0.3397806555232704,0.13486670880966706,ns,77.6496034607066,5.731795241528478,4.397348966176591
07048,0.00036411723016189937,-0.7328887361653474,-0.005419448111355167,0.014116675125427526,0.2533433171710649,0.13494300183517108,ns,64.1903975787591,12.789471270692898,4.338595923576831
07049,-0.0008473324252501027,0.2741826353012952,-0.05385365880380661,0.014153141404565415,0.3778133366836994,0.13752184290782998,ns,100.0,4.968169167279823,4.494975080483279
07050,-0.0008174667674113455,-1.5681701576678988,0.016264739253543145,0.014161673324417166,0.3261820731272754,0.13527855858116253,ns,100.0,16.64755351681957,3.718667735316211
07051,-0.0006352763897294035,-0.18150017773703825,0.016121946192430407,0.014136158894020078,0.25302911148723317,0.1351194572750961,ns,58.2245827010622,11.924994580533275,4.663983454608267
07052,0.0010338539831143156,0.5668280153026464,-0.0010575493101255577,0.014189382736991977,0.2794714403807593,0.13500576830305597,ns,82.7508207648181,7.1447311507725475,5.149302267467133
07053,-0.0006732112198643747,0.12572038783280987,0.015284399508173778,0.014138117215426392,0.26477913534491987,0.1351218109595921,ns,100.0,12.732565498038223,3.89768206179642
07054,-0.001055082483461902,-1.0531908498690756,-0.03012000956462071,0.014192271617223947,0.25744181514839953,0.13593991902690541,ns,72.4814159292035,12.184070796460176,4.451018452155457
07055,-0.0015465785462738576,-0.10004175834281054,-0.036916145696340615,0.014282507869353978,0.2587534353065953,0.13621356116690259,ns,100.0,12.031994554118448,3.769081787118219
07056,0.0005723588133117791,0.864677940274045,-0.10541315294099612,0.014139262388083974,0.27118298098758326,0.14500860109188848,ns,100.0,4.158487822609961,4.138460594725703
07057,0.001262478716703762,0.003933870121461745,0.0309483399118638,0.014229974812352135,0.3107919356237839,0.13570156310608394,ns,63.5919788476138,9.657320872274143,4.883081989461384
07058,-0.0012615874400787373,0.11776917540401362,-0.07125135212047262,0.01420687711974198,0.3223376428375952,0.13940199875213394,ns,100.0,7.009443861490032,3.6780629049743454
07059,0.0005569295213947681,0.07596664728134797,0.03557936171774594,0.014128659410187691,0.2574390362077427,0.13609032580754252,ns,69.7563719578456,5.680108752626128,5.370440917071122
07060,-0.00010749950887050939,-0.5595645288061764,-0.06166143958540555,0.014109996462112735,0.2596018193069853,0.13883128372574322,ns,62.1663827370812,7.729982964224873,4.14884934295922
