outcome,factor,modelo,estimador,r2cv_media,r2cv_sd,mae,moran_resid,mae_AA,mae_BB,mae_ns,r2_norte,r2_centro,r2_sur-sureste
indicadores,lp_ingreso,M2_geografia,hgb,-0.1904,0.2358,0.7826,0.6026,0.708,0.6266,0.8023,-1.2068,-1.3666,-0.3482
indicadores,lp_ingreso,M3_lentes,ridge,-0.2526,0.2581,0.7536,0.5853,0.6912,0.6324,0.7692,-1.1844,-1.1949,-0.4399
indicadores,lp_ingreso,M3_lentes,hgb,0.1299,0.2143,0.6467,0.5012,0.5528,0.6014,0.6572,0.0934,-1.0439,0.0003
indicadores,lp_ingreso,M4_vistaD+lentes,ridge,0.4278,0.2144,0.5047,0.4561,0.4492,0.3843,0.5198,0.0439,0.1638,0.3262
indicadores,lp_ingreso,M4_vistaD+lentes,hgb,0.5694,0.1215,0.4643,0.401,0.3903,0.4303,0.4723,0.3863,0.1578,0.4796
indicadores,rezago_educ,M0_vistaD,ridge,0.434,0.2289,0.5539,0.6159,0.48,0.7225,0.5427,0.518,0.5464,0.2524
indicadores,rezago_educ,M0_vistaD,hgb,0.4236,0.2597,0.5434,0.5611,0.5277,0.6855,0.5309,0.5091,0.4995,0.2889
indicadores,rezago_educ,M1_ntl,ridge,0.227,0.1549,0.6281,0.4902,0.5085,0.5901,0.6395,-0.0607,0.5012,-0.0537
indicadores,rezago_educ,M1_ntl,hgb,0.322,0.1479,0.6064,0.4225,0.5761,0.6462,0.6046,0.2096,0.4423,0.1311
indicadores,rezago_educ,M2_geografia,ridge,0.0592,0.0967,0.7295,0.5927,0.5567,0.8754,0.7269,-0.3184,0.0565,-0.0245
indicadores,rezago_educ,M2_geografia,hgb,0.0167,0.2172,0.7379,0.509,0.5678,0.7346,0.7493,-0.2078,0.2091,-0.2159
indicadores,rezago_educ,M3_lentes,ridge,0.2933,0.1265,0.6102,0.4833,0.537,0.6076,0.6153,0.0254,0.5078,0.0708
indicadores,rezago_educ,M3_lentes,hgb,0.284,0.1801,0.6181,0.4354,0.5304,0.6712,0.6188,0.2428,0.4731,0.0145
indicadores,rezago_educ,M4_vistaD+lentes,ridge,0.5238,0.1554,0.5009,0.5421,0.5129,0.547,0.4958,0.4105,0.6753,0.3908
indicadores,rezago_educ,M4_vistaD+lentes,hgb,0.5391,0.1566,0.4957,0.4951,0.5053,0.507,0.4941,0.5153,0.6747,0.3859
indicadores,car_salud,M0_vistaD,ridge,0.0499,0.1164,0.7458,0.382,0.9097,0.5595,0.7528,-0.3001,-0.0704,0.1382
indicadores,car_salud,M0_vistaD,hgb,-0.0374,0.1528,0.7802,0.3816,0.9543,0.5869,0.7872,-0.2813,-0.1469,-0.0221
indicadores,car_salud,M1_ntl,ridge,-0.0057,0.1089,0.765,0.3838,0.9518,0.5736,0.771,-0.2958,-0.071,0.049
indicadores,car_salud,M1_ntl,hgb,0.0059,0.1096,0.7648,0.2977,0.889,0.6287,0.7696,-0.3082,-0.0327,0.0697
indicadores,car_salud,M2_geografia,ridge,0.0258,0.0505,0.7513,0.3778,0.9964,0.5688,0.7527,-0.3,0.1168,0.0217
indicadores,car_salud,M2_geografia,hgb,-0.0601,0.0838,0.7923,0.3353,0.9602,0.6403,0.7958,-0.3869,-0.0516,-0.0326
indicadores,car_salud,M3_lentes,ridge,0.0003,0.0767,0.7591,0.3745,0.9698,0.5818,0.7622,-0.3043,0.0283,0.0229
indicadores,car_salud,M3_lentes,hgb,-0.0271,0.1028,0.7811,0.3101,0.9158,0.6507,0.7847,-0.2651,-0.1114,0.0215
indicadores,car_salud,M4_vistaD+lentes,ridge,0.0724,0.0914,0.7362,0.3703,0.9591,0.5535,0.739,-0.2774,0.0181,0.1304
indicadores,car_salud,M4_vistaD+lentes,hgb,0.0293,0.1277,0.7606,0.3562,0.9647,0.5865,0.7639,-0.2396,-0.0729,0.0546
